year,facility,location,frequency,churchClergy,CMDMClergy,notes,lon,lat
1873,St. Paul's Church,"Albany, NY",1,"unlisted, likely Rev.  Reese",unlisted,services held - unclear how often,-73.7562317,42.6525793
1873,Church of the Mediator,"Allentown, PA",1,unlisted,unlisted,services held - unclear how often,-75.4901833,40.6084305
1873,Grace Church,"Baltimore, MD",1,unlisted,unlisted,services held - unclear how often,-76.6121893,39.2903848
1873,Christ Church,"Biddeford, ME",1,unlisted,unlisted,services held - unclear how often,-70.4533844,43.4925843
1873,Chapel of the Good Shepherd,"Boston, MA",1,Rev.  Krans,unlisted,services held - unclear how often,-71.060097,42.3584865
1873,Church of the Messiah,"Brooklyn, NY",1,unlisted,unlisted,services held - unclear how often,-73.9441579,40.6781784
1873,St. Mary's Church,"Brooklyn, NY",1,unlisted,unlisted,services held - unclear how often,-73.9441579,40.6781784
1873,Christ Church,"Buffalo, NY",1,unlisted,unlisted,services held - unclear how often,-78.8783689,42.8864468
1873,St. Paul's Church,"Flint, MI",1,unlisted,unlisted,services held - unclear how often,-83.6874562,43.0125274
1873,Trinity Church,"Geneva, NY",1,unlisted,unlisted,services held - unclear how often,-76.985557,42.8679836
1873,St. Paul's Church,"Hartford, CT",1,unlisted,unlisted,services held - unclear how often,-72.6850932,41.7637111
1873,St. John's Church,"Lowell, MA",1,unlisted,unlisted,services held - unclear how often,-71.3161718,42.6334247
1873,Grace Church,"Mexico, NY",1,unlisted,unlisted,services held - unclear how often,-76.2288176,43.4595138
1873,St. James' Church,"New London, CT",1,unlisted,unlisted,services held - unclear how often,-72.0995209,41.3556539
1873,St. Ann's Church,"New York City, NY",52,Rev. Thomas Gallaudet,"Gallaudet, Chamberlain, Syle",weekly,-74.0059413,40.7127837
1873,Christ Church,"Norwich, CT",1,unlisted,unlisted,services held - unclear how often,-72.0759105,41.5242649
1873,St. Paul's Church,"Paterson, NJ",1,unlisted,unlisted,services held - unclear how often,-74.171811,40.9167654
1873,St. Stephen's Church,"Philadelphia, PA",1,unlisted,unlisted,services held - unclear how often,-75.1652215,39.9525839
1873,St. Peter's Church,"Port Chester, NY",1,unlisted,unlisted,services held - unclear how often,-73.6656834,41.0017643
1873,Christ Church,"Rochester, NY",1,unlisted,unlisted,services held - unclear how often,-77.6109219,43.16103
1873,St. Luke's Church,"Rochester, NY",1,unlisted,unlisted,services held - unclear how often,-77.6109219,43.16103
1873,Zion Church,"Rome, NY",1,unlisted,unlisted,services held - unclear how often,-75.4557303,43.2128473
1873,Trinity Church,"Saco, ME",1,unlisted,unlisted,services held - unclear how often,-70.4428286,43.5009176
1873,Christ Church,"Springfield, MA",1,unlisted,unlisted,services held - unclear how often,-72.589811,42.1014831
1873,Grace Church,"Syracuse, NY",1,unlisted,unlisted,services held - unclear how often,-76.1474244,43.0481221
1873,Trinity Church,"Syracuse, NY",1,unlisted,unlisted,services held - unclear how often,-76.1474244,43.0481221
1873,St. Mark's Church,"Tarrytown, NY",1,unlisted,unlisted,services held - unclear how often,-73.8587461,41.0762077
1873,St. Paul's Church,"Troy, NY",1,unlisted,unlisted,services held - unclear how often,-73.6917851,42.7284117
1873,St. Mark's,"Washington, DC",1,unlisted,unlisted,services held - unclear how often,-77.0368707,38.9071923
1873,Grace Church,"Watertown, NY",1,unlisted,unlisted,services held - unclear how often,-75.9107565,43.9747838
1873,Trinity Church,"Watertown, NY",1,unlisted,unlisted,services held - unclear how often,-75.9107565,43.9747838
1873,All Saint's Church,"Worcester, MA",1,unlisted,unlisted,services held - unclear how often,-71.8022934,42.2625932
1874,St. Paul's Church,"Albany, NY",12,"Rev.  Reese, rector","Berry, Gallaudet",unclear how often,-73.7562317,42.6525793
1874,Church of the Mediator,"Allentown, MD",1,"Rev.  Byllesby, rector",unlisted,Sunday services for a portion of the year,-76.9224062,38.7927375
1874,St. Anne's Church,"Annapolis, MD",1,unlisted,unlisted,Occasional services,-76.4921829,38.9784453
1874,Grace Church,"Baltimore, MD",52,"Rev.  Leeds, rector","Adams (died), Covell, Gallaudet",unclear how often,-76.6121893,39.2903848
1874,St. Thomas' Church,"Belleville, Canada",1,unlisted,unlisted,Occasional services,-77.3832315,44.1627589
1874,Chapel of the Good Shepherd,"Boston, MA",4,Rev.  Krans,Gallaudet,unclear how often,-71.060097,42.3584865
1874,St. John's Church,"Bridgeport, CT",52,"Rev.  Maxcey, rector",unlisted,Bible Class,-73.1951767,41.1865478
1874,St. Mary's Church,"Brooklyn, NY",1,unlisted,unlisted,Occasional services,-73.9441579,40.6781784
1874,Christ Church,"Buffalo, NY",1,unlisted,unlisted,Occasional services,-78.8783689,42.8864468
1874,the Church in Canajoharie,"Canajoharie, NY",1,unlisted,unlisted,Occasional services,-74.5718073,42.9056288
1874,Grace Church,"Cherry Valley, NY",1,unlisted,unlisted,Occasional services,-74.7532018,42.7956294
1874,St. Paul's Church,"East Bridgeport, CT",1,unlisted,unlisted,Occasional services,-73.1951767,41.1865478
1874,St. Paul's Church,"Flint, MI",1,"Rev.  Lane, rector",unlisted,Sunday services for a portion of the year,-83.6874562,43.0125274
1874,St. Paul's Church,"Hartford, CT",1,unlisted,unlisted,Occasional services,-72.6850932,41.7637111
1874,St. Paul's Church,"Jackson, MI",1,unlisted,unlisted,Occasional services,-84.4013462,42.245869
1874,St. Michael's Church,"Marblehead, MA",1,unlisted,unlisted,Occasional services,-70.8578024,42.4999582
1874,Grace Church,"Mexico, NY",1,unlisted,unlisted,Occasional services,-76.2288176,43.4595138
1874,St. Ann's Church,"New York City, NY",52,"Thomas Gallaudet, William Chamberlain, Krans, Henry Winter Syle, (Bible class)",unlisted,unclear how often,-74.0059413,40.7127837
1874,St. Stephen's Church,"Philadelphia, PA",12,"Rev.  Rudder, rector","Gallaudet, Chamberlain, Clerc",unclear how often,-75.1652215,39.9525839
1874,Trinity Church,"Potsdam, NY",1,unlisted,unlisted,Occasional services,-74.9813084,44.6697805
1874,Christ's Church,"Rochester, NY",1,"Rev.  Battershall, rector",Acker,Sunday services for a portion of the year,-77.6109219,43.16103
1874,St. James' Church,"Syracuse, NY",1,unlisted,unlisted,Occasional services,-76.1474244,43.0481221
1874,St. Mark's Church ,"Tarrytown, NY",1,unlisted,unlisted,Occasional services,-73.8587461,41.0762077
1874,St. Paul's Chapel,"Troy, NY",12,"Rev.  Gwynne, Pastor","Berry, Miss Clapp (Bible Study)","Berry (hearing with deaf wife) once a quarter, Gallaudet visits and Berry goes elsewhere",-73.6917851,42.7284117
1874,St. Mark's Church,"Washington, DC",1,unlisted,unlisted,Occasional services,-77.0368707,38.9071923
1874,All Saints' Church,"Worcester, MA",1,unlisted,unlisted,Occasional services,-71.8022934,42.2625932
1875,St. Paul's Church,"Albany, NY",12,Rev. J. Livingston Reese,"Berry, Gallaudet","Berry resigned pastorate, accepted position as rector Trinity Church, Granville, NY",-73.7562317,42.6525793
1875,Grace Church,"Allentown, PA",52,Rev.  Byllesby,Roberts,unclear how often,-75.4901833,40.6084305
1875,Grace Church,"Baltimore, MD",52,"Rev.  Leeds, rector","Tuck, Covell, Gallaudet","Tuck licensed layereader in 1874, took over this mission December 1874",-76.6121893,39.2903848
1875,Trinity Church,"Baltimore, MD",3,Rev.  Leaken,"Tuck, Gallaudet",a few special services,-76.6121893,39.2903848
1875,Chapel of the Good Shepherd,"Boston, MA",4,"Rev. George J. Prescott, Pastor",Gallaudet ,unclear how often,-71.060097,42.3584865
1875,St. Paul's Church,"Bridgeport, CT",52,"Rev.  Richardson, rector","Beers, Gallaudet","Bible class, Occasional services",-73.1951767,41.1865478
1875,St. Mark's Church,"Brooklyn, NY",1,unlisted,Mann,Occasional services,-73.9441579,40.6781784
1875,St. Mary's Church,"Brooklyn, NY",12,"Rev.  Johnson, rector","Gallaudet, Chamberlain, James S. Wells (deaf), James Lewis (deaf)",unclear how often,-73.9441579,40.6781784
1875,St. James' Church,"Chicago, IL",1,unlisted,Mann,Occasional services,-87.6297982,41.8781136
1875,"unnamed, likely to be St. James' Church","Chicago, IL",2,unlisted,"Mann, Gallaudet",at least twice,-87.6297982,41.8781136
